PLAYER,TEAM_pie,AGE_pie,GP_pie,W_pie,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE_pie,PIE_pie,Unnamed: 0,Rk,POSITION,AGE_sal,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM_sal,GP_sal,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE_sal,PACE_sal,W_sal,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Russell Westbrook,OKC,28,81,46,35,34.6,107.9,104.6,3.3,54.3,1.92,23.4,5.3,27.9,16.7,12.2,47.6,55.4,40.8,102.31,23.0,0,1,PG,28,34.6,10.2,24.0,0.425,2.5,7.2,0.3429999999999999,7.7,16.8,0.4589999999999999,0.476,8.8,10.4,0.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,OKC,81,34.6,6.74,-0.47,6.27,17.34,23.0,102.31,46,26.5,4279.0,2130.5,559.0
Anthony Davis,NOP,24,75,31,44,36.1,104.2,102.5,1.7,11.0,0.87,7.3,6.7,26.9,17.0,8.4,51.8,58.0,32.6,100.19,19.2,2,4,C,23,36.1,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,NO,75,36.1,0.45,3.9,4.35,12.81,19.2,100.19,31,22.12,82.5,368.0,104.0
James Harden,HOU,27,81,54,27,36.4,113.6,107.3,6.3,50.5,1.95,27.6,3.5,21.2,12.3,14.1,52.5,61.3,34.1,102.98,19.0,1,2,PG,27,36.4,8.3,18.9,0.44,3.2,9.3,0.347,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,HOU,81,36.4,6.38,-1.57,4.81,15.54,19.0,102.98,54,26.5,3279.0,969.0,321.5
Kevin Durant,GSW,28,62,51,11,33.4,117.2,101.3,16.0,21.8,2.17,18.4,2.3,23.2,13.7,8.5,59.4,65.1,27.6,103.71,18.6,9,12,SF,28,33.4,8.9,16.5,0.537,1.9,5.0,0.375,7.0,11.5,0.608,0.594,5.4,6.2,0.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,GS,62,33.4,4.41,1.33,5.74,12.24,18.6,103.71,51,26.5,6288.5,1425.5,366.0
LeBron James,CLE,32,74,51,23,37.8,114.9,107.1,7.7,38.8,2.13,25.6,4.0,20.9,12.7,12.0,59.4,61.9,29.7,98.38,18.3,5,8,SF,32,37.8,9.9,18.2,0.5479999999999999,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,CLE,74,37.8,6.49,1.93,8.42,20.43,18.3,98.38,51,30.96,14704.0,5533.5,1501.5
Chris Paul,LAC,32,61,43,18,31.5,116.2,101.3,14.9,44.4,3.83,35.0,2.5,14.9,8.9,9.1,55.5,61.4,24.3,98.19,18.2,33,42,PG,31,31.5,6.1,12.9,0.476,2.0,5.0,0.411,4.1,7.9,0.518,0.555,3.8,4.3,0.892,0.7,4.3,5.0,9.2,2.0,0.1,2.4,2.4,18.1,LAC,61,31.5,5.16,2.76,7.92,13.48,18.2,98.19,43,22.87,2689.5,829.0,178.5
DeMarcus Cousins,NOP,26,72,30,42,34.2,106.7,109.0,-2.2,26.2,1.23,14.3,7.2,30.5,18.8,11.6,49.8,56.2,36.4,97.11,17.8,3,6,C,26,34.2,9.0,19.9,0.452,1.8,5.0,0.361,7.2,14.8,0.483,0.498,7.2,9.3,0.772,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,27.0,NO/SAC,72,34.2,3.56,0.64,4.2,11.26,17.8,97.11,30,16.96,1625.5,102.0,91.5
Kawhi Leonard,SAS,26,74,54,20,33.4,112.6,104.0,8.6,18.2,1.69,13.3,3.8,16.0,10.0,7.9,54.1,61.0,31.2,95.79,17.4,6,9,SF,25,33.4,8.6,17.7,0.485,2.0,5.2,0.38,6.6,12.5,0.529,0.541,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,SA,74,33.4,5.83,1.25,7.08,15.53,17.4,95.79,54,17.64,2446.5,2701.5,716.5
Joel Embiid,PHI,23,31,13,18,25.4,102.4,99.1,3.2,17.4,0.56,9.2,9.2,24.7,17.3,16.3,50.8,58.4,36.3,100.25,17.4,25,32,C,22,25.4,6.5,13.8,0.466,1.2,3.2,0.367,5.3,10.7,0.495,0.508,6.2,7.9,0.7829999999999999,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,PHI,31,25.4,-0.57,2.27,1.7,2.46,17.4,100.25,13,4.83,1075.5,6852.5,2941.0
Karl-Anthony Towns,MIN,21,82,31,51,37.0,109.9,110.8,-0.9,12.7,1.04,10.5,11.4,27.7,19.5,10.1,57.6,61.8,27.4,97.1,17.1,10,13,C,21,37.0,9.8,18.0,0.542,1.2,3.4,0.367,8.5,14.7,0.5820000000000001,0.5760000000000001,4.3,5.2,0.8320000000000001,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1,MIN,82,37.0,3.54,-1.41,2.13,10.0,17.1,97.1,31,5.96,2046.5,0.0,105.0
